iter	Passed	Remaining
399	56642	368176
400	56755	367850
401	56871	367545
402	56994	367284
403	57119	367033
404	57269	366948
405	57525	367542
406	57733	367822
407	57889	367769
408	58033	367639
409	58159	367398
410	58300	367248
411	58422	366982
412	58538	366678
413	58645	366324
414	58759	366010
415	58855	365585
416	58971	365286
417	59114	365154
418	59284	365189
419	59501	365508
420	59702	365733
421	59818	365430
422	59913	365003
423	60017	364636
424	60136	364358
425	60262	364121
426	60368	363767
427	60507	363613
428	60648	363465
429	60808	363438
430	60974	363441
431	61152	363520
432	61368	363817
433	61513	363693
434	61633	363425
435	61767	363240
436	61891	362992
437	61988	362588
438	62092	362227
439	62209	361946
440	62401	362101
441	62630	362462
442	62816	362578
443	63002	362688
444	63136	362500
445	63247	362182
446	63357	361859
447	63457	361480
448	63557	361101
449	63659	360734
450	63751	360318
451	63878	360095
452	64010	359900
453	64152	359764
454	64300	359657
455	64423	359415
456	64572	359317
457	64709	359153
458	64834	358920
459	64963	358710
460	65094	358513
461	65238	358386
462	65358	358128
463	65512	358058
464	65649	357895
465	65791	357761
466	65915	357525
467	66057	357386
468	66193	357219
469	66342	357120
470	66467	356890
471	66606	356738
472	66765	356694
473	66890	356468
474	67033	356333
475	67173	356186
476	67307	356007
477	67437	355809
478	67588	355721
479	67739	355632
480	67883	355508
481	68009	355284
482	68152	355157
483	68289	354993
484	68425	354823
485	68582	354764
486	68756	354795
487	68914	354742
488	69069	354669
489	69232	354638
490	69399	354628
491	69532	354445
492	69665	354264
493	69813	354153
494	69961	354049
495	70118	353985
496	70269	353894
497	70407	353736
498	70542	353561
499	70697	353488
500	70848	353394
501	71011	353359
502	71160	353256
503	71309	353153
504	71442	352967
505	71563	352725
506	71664	352387
507	71780	352118
508	71876	351754
509	71989	351480
510	72085	351119
511	72202	350859
512	72334	350674
513	72546	350875
514	72740	350992
515	72994	351393
516	73139	351267
517	73256	351009
518	73380	350782
519	73500	350540
520	73600	350202
521	73709	349907
522	73846	349748
523	74206	350641
524	74478	351113
525	74673	351223
526	74815	351077
527	74945	350881
528	75074	350677
529	75178	350361
530	75299	350123
531	75412	349847
532	75620	350008
533	75814	350109
534	76033	350324
535	76225	350411
536	76349	350185
537	76459	349892
538	76570	349612
539	76681	349328
540	76801	349083
541	76898	348737
542	77009	348459
543	77190	348490
544	77389	348608
545	77569	348636
546	77708	348482
547	77816	348187
548	77928	347908
549	78033	347605
550	78137	347293
551	78235	346955
552	78337	346640
553	78429	346280
554	78550	346047
555	78668	345800
556	78832	345759
557	78965	345578
558	79116	345480
559	79278	345429
